,HomeTeam,AwayTeam,MW,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
71,Burnley,Chelsea,8,0.5714285714285714,1.1428571428571428,-4,18,11,7,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.8571428571428571,1.0,2.2857142857142856,0.8571428571428571,-1.4285714285714286,0.14285714285714285,10.714285714285714,14.571428571428571,2.857142857142857,4.571428571428571,16.571428571428573,11.571428571428571,6.142857142857143,3.5714285714285716,0,0,4,4,0.8571428571428571,0.8571428571428571,3.4285714285714284,0.8571428571428571,12.285714285714286,12.0,18.285714285714285,10.0,3.142857142857143,4.0,8.0,3.7142857142857144,0.0,1.1428571428571428,0.0,0.2857142857142857,0.0,0.2857142857142857,1.1428571428571428,0.2857142857142857,1.535211268,1.478873239
72,Everton,Bournemouth,8,0.5714285714285714,0.42857142857142855,1,16,19,-3,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.7142857142857143,1.7142857142857142,2.142857142857143,-0.8571428571428571,-1.4285714285714286,15.428571428571429,11.857142857142858,5.142857142857143,3.857142857142857,11.428571428571429,17.428571428571427,3.857142857142857,6.285714285714286,3,0,4,2,0.2857142857142857,1.1428571428571428,1.4285714285714286,2.2857142857142856,18.571428571428573,10.571428571428571,12.0,17.142857142857142,6.285714285714286,4.0,2.857142857142857,6.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,1.1428571428571428,0.5714285714285714,1.527777778,1.513888889
73,Fulham,Sheffield United,8,1.1428571428571428,0.14285714285714285,7,13,20,-7,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.7142857142857143,1.7142857142857142,2.7142857142857144,-1.0,-2.0,9.428571428571429,9.428571428571429,3.0,3.142857142857143,12.428571428571429,22.285714285714285,6.0,8.714285714285714,1,0,5,1,0.2857142857142857,0.5714285714285714,1.4285714285714286,1.7142857142857142,9.428571428571429,8.571428571428571,10.0,18.285714285714285,2.0,2.857142857142857,4.0,6.571428571428571,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,1.547945205,1.493150685
74,Man United,Brentford,8,1.2857142857142858,1.0,2,10,14,-4,0.42857142857142855,0.14285714285714285,0.0,0.5714285714285714,0.5714285714285714,0.2857142857142857,1.0,1.4285714285714286,1.5714285714285714,1.4285714285714286,-0.5714285714285714,0.0,15.571428571428571,14.571428571428571,4.571428571428571,4.428571428571429,13.714285714285714,12.571428571428571,5.0,3.857142857142857,3,0,6,5,1.4285714285714286,1.1428571428571428,1.7142857142857142,0.5714285714285714,18.857142857142858,13.142857142857142,14.285714285714286,7.142857142857143,5.714285714285714,4.285714285714286,5.714285714285714,1.4285714285714286,1.7142857142857142,1.1428571428571428,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,1.567567568,1.486486486
75,Crystal Palace,Nott'm Forest,8,1.5714285714285714,1.1428571428571428,3,9,12,-3,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0,1.1428571428571428,1.0,1.4285714285714286,0.0,-0.2857142857142857,12.857142857142858,9.714285714285714,4.857142857142857,3.0,13.0,13.714285714285714,3.2857142857142856,4.714285714285714,1,0,5,7,0.8571428571428571,1.1428571428571428,0.8571428571428571,2.0,10.571428571428571,9.142857142857142,10.285714285714286,17.428571428571427,4.571428571428571,3.4285714285714284,3.4285714285714284,6.285714285714286,1.1428571428571428,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.8571428571428571,1.573333333,1.48
76,Brighton,Liverpool,8,2.142857142857143,2.2857142857142856,-1,6,4,2,0.7142857142857143,0.7142857142857143,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,2.7142857142857144,2.2857142857142856,2.0,1.0,0.7142857142857143,1.2857142857142858,16.714285714285715,16.428571428571427,7.285714285714286,5.142857142857143,13.0,14.428571428571429,4.285714285714286,4.857142857142857,3,3,12,15,3.142857142857143,2.0,1.7142857142857142,1.4285714285714286,22.857142857142858,14.285714285714286,12.0,19.428571428571427,9.142857142857142,4.285714285714286,3.4285714285714284,6.285714285714286,2.5714285714285716,2.0,0.8571428571428571,0.5714285714285714,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.552631579,1.460526316
77,West Ham,Newcastle,8,1.8571428571428572,1.7142857142857142,1,7,8,-1,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,1.8571428571428572,2.5714285714285716,1.4285714285714286,1.0,0.42857142857142855,1.5714285714285714,12.285714285714286,15.285714285714286,4.428571428571429,7.0,19.857142857142858,11.714285714285714,6.285714285714286,3.5714285714285716,0,3,9,6,1.7142857142857142,2.5714285714285716,1.1428571428571428,1.1428571428571428,10.857142857142858,10.857142857142858,17.714285714285715,10.857142857142858,5.142857142857143,5.142857142857143,6.0,3.142857142857143,1.7142857142857142,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.0,0.0,0.2857142857142857,0.5714285714285714,1.558441558,1.467532468
78,Wolves,Aston Villa,8,1.0,2.142857142857143,-8,15,5,10,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,1.1428571428571428,2.5714285714285716,1.8571428571428572,1.5714285714285714,-0.7142857142857143,1.0,11.285714285714286,14.857142857142858,3.2857142857142856,6.142857142857143,17.285714285714285,11.285714285714286,6.714285714285714,4.428571428571429,1,3,4,12,1.1428571428571428,1.4285714285714286,2.2857142857142856,2.5714285714285716,8.571428571428571,16.0,15.714285714285714,15.142857142857142,2.2857142857142856,6.285714285714286,6.285714285714286,6.571428571428571,0.8571428571428571,1.7142857142857142,0.2857142857142857,0.5714285714285714,0.0,0.0,0.5714285714285714,0.5714285714285714,1.564102564,1.474358974
79,Arsenal,Man City,8,2.4285714285714284,2.5714285714285716,-1,3,1,2,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.0,0.0,0.14285714285714285,2.142857142857143,2.4285714285714284,0.8571428571428571,0.7142857142857143,1.2857142857142858,1.7142857142857142,15.142857142857142,18.142857142857142,6.285714285714286,7.571428571428571,9.571428571428571,6.285714285714286,2.2857142857142856,2.142857142857143,1,3,11,15,2.5714285714285716,2.5714285714285716,1.7142857142857142,1.1428571428571428,18.285714285714285,28.285714285714285,10.571428571428571,6.0,8.285714285714286,11.428571428571429,3.4285714285714284,2.0,2.2857142857142856,2.5714285714285716,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.0,0.0,0.2857142857142857,1.556962025,1.46835443
80,Liverpool,Everton,9,2.125,0.875,10,4,16,-12,0.625,0.25,0.25,0.125,0.125,0.625,2.25,1.125,1.125,1.5,1.125,-0.375,16.125,16.625,5.0,5.5,14.375,11.375,4.625,3.875,0,0,12,4,2.25,1.25,0.5,1.75,16.25,10.75,8.25,9.5,5.25,3.5,3.0,4.25,2.25,1.0,0.75,0.25,0.0,0.25,0.0,0.25,1.55,1.45
